;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
252;1825;940;956;1104;185;452;69;1234;0;18841;0;23112;-126;-818;855;289;176;901;957;494;839;489;901;17402;111;-771;-2007;17014;16657;3000;1640;347;1360;2640;29;187;-61;525;195;1830;25000;5629;-1;773;-761;223;182;908;865;490;910;495;908;17361;274;233;-2927;17435;1092;3000;1525;346;1475;2640;144;-465;-272;418;1413;4585;3487;858;5317;365;1384;683;703;-329;435;30;30;442;442;195;-491;0;0;35;-35;2295;-971;-971;0;77;0;0;0;0;0;
253;1825;940;941;1079;209;554;70;1234;0;20026;22284;0;804;44;-875;225;168;897;948;492;836;497;897;17400;110;-661;-2302;17207;28535;3000;1645;348;1355;2640;-142;173;-70;531;231;20623;0;21453;-32;-856;874;238;136;906;989;488;913;485;906;17398;275;233;-2729;16865;16930;3000;1520;346;1480;2640;248;425;197;-442;1411;4801;6404;3691;8219;365;1384;691;679;250;-464;30;30;442;442;231;483;0;0;36;-36;2295;-969;-969;0;77;0;0;0;0;0;
254;1825;940;950;1077;205;525;85;1234;0;0;16990;25000;-919;906;38;322;376;911;976;497;834;485;911;17332;111;-845;-2691;16870;7509;3000;1648;345;1352;2640;258;189;-83;524;-513;4709;25000;2838;257;635;-902;283;280;924;879;490;913;482;924;17377;277;233;-3201;17192;137;3000;1520;343;1480;2640;-473;-91;-179;451;1411;9891;179;6585;2038;365;1384;676;695;-240;483;30;30;442;442;-513;-134;0;0;36;-36;2295;-969;-969;0;76;0;0;0;0;0;
255;1830;940;943;1102;195;496;72;1234;0;25000;0;13760;128;-1122;898;265;500;893;1061;496;833;491;893;17326;109;-676;-3272;16739;19251;3000;1650;349;1350;2640;-234;197;-101;520;438;19584;0;23023;-130;-628;776;234;129;914;810;489;911;492;914;17360;280;234;-2824;17494;16384;3000;1523;344;1477;2640;382;-296;159;-470;1411;13893;3160;405;4990;366;1384;657;710;218;-501;30;30;442;442;438;-297;0;0;36;-36;2295;-969;-969;0;76;0;0;0;0;0;
256;1825;940;942;1084;214;549;64;1234;0;12781;25000;0;586;416;-990;322;256;903;967;497;831;486;903;17356;110;-654;-2055;17089;30857;3000;1653;347;1347;2640;293;247;-63;527;8;6627;25000;1272;279;703;-910;223;205;905;950;487;914;487;905;17390;282;233;-2976;17122;32358;3000;1518;347;1482;2640;41;482;-125;469;1411;5135;5917;3176;7726;365;1384;684;687;-180;504;30;30;442;442;8;532;0;0;36;-36;2295;-969;-969;0;77;0;0;0;0;0;
257;1825;940;921;1080;196;507;82;1234;0;0;10571;25000;-948;581;397;328;370;902;878;493;834;492;902;17351;109;-483;-2388;17443;9694;3000;1648;348;1352;2640;-318;349;-73;538;-438;17134;0;25000;-156;-683;781;202;44;905;858;486;913;491;905;17382;283;232;-2575;17315;15701;3000;1520;346;1480;2640;-421;-271;86;-483;1414;4838;8844;6278;1671;365;1384;692;703;143;-521;30;30;442;442;-438;-321;0;0;36;-36;2140;-972;-972;0;77;0;0;0;0;0;
258;1825;940;945;1103;197;519;75;1234;0;25000;0;7355;660;-1015;283;274;243;899;968;492;829;488;899;17381;110;-699;-2233;17119;21436;3000;1657;348;1343;2640;371;196;-68;528;520;6845;25000;0;420;478;-895;232;290;909;847;489;916;485;909;17384;284;232;-3311;17485;31949;3000;1515;346;1485;2640;460;-143;-108;470;1415;6171;2691;9038;4503;365;1384;684;701;-174;521;30;30;442;442;520;-116;0;0;37;-37;2295;-973;-973;0;77;0;0;0;0;0;
259;1830;940;940;1087;217;579;73;1234;0;6220;25000;1579;173;749;-885;204;197;890;938;490;828;500;890;17380;108;-506;-2313;17255;137;3000;1658;349;1342;2640;-473;206;-70;532;-194;15455;0;25000;-300;-521;843;266;107;919;835;488;913;481;919;17318;284;231;-2687;17193;15155;3000;1520;344;1480;2640;-137;475;33;-480;1414;4731;5769;2966;7574;366;1384;689;703;91;-532;30;30;442;442;-194;501;0;0;36;-36;2295;-972;-972;0;77;0;0;0;0;0;
260;1830;940;932;1074;190;496;82;1234;0;2773;4546;25000;-769;143;662;269;230;905;792;493;828;500;905;17320;109;-617;-2218;17572;11605;3000;1658;346;1342;2640;590;224;-68;545;-301;11095;25000;0;623;366;-918;302;339;917;906;490;913;484;917;17294;284;232;-3303;17112;30993;3000;1520;345;1480;2640;-311;-398;-8;493;1416;4311;8652;5987;1380;366;1384;713;684;-43;540;30;30;442;442;-301;-459;0;0;36;-36;2295;-974;-974;0;76;0;0;0;0;0;
261;1830;940;941;1100;214;596;85;1234;0;25000;5957;1784;753;-858;104;324;363;910;861;496;828;490;910;17274;110;-633;-2500;17248;23347;3000;1658;346;1342;2640;-535;259;-77;539;539;13233;0;25000;-396;-341;767;203;121;910;741;492;912;499;910;17338;284;233;-2895;17819;14336;3000;1522;345;1478;2640;492;29;-33;-499;1418;6244;2629;9051;4463;366;1384;699;728;22;-560;30;30;442;442;539;74;0;0;36;-36;2295;-976;-976;0;75;0;0;0;0;0;
